2019-06-06T18:22:21.481232Z <INFO> [29596] {7fdc51007740} Start
2019-06-06T18:22:21.481742Z <INFO> [29596] {7fdc51007740} Begin
NMEA S P S 0x24 '$'
UBX  S S X 0x24 '$'
RTCM S S X 0x24 '$'
NMEA P P S 0x47 'G'
UBX  S S X 0x47 'G'
RTCM S S X 0x47 'G'
NMEA P P S 0x4e 'N'
UBX  S S X 0x4e 'N'
RTCM S S X 0x4e 'N'
NMEA P P S 0x52 'R'
UBX  S S X 0x52 'R'
RTCM S S X 0x52 'R'
NMEA P P S 0x4d 'M'
UBX  S S X 0x4d 'M'
RTCM S S X 0x4d 'M'
NMEA P P S 0x43 'C'
UBX  S S X 0x43 'C'
RTCM S S X 0x43 'C'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x31 '1'
UBX  S S X 0x31 '1'
RTCM S S X 0x31 '1'
NMEA P P S 0x37 '7'
UBX  S S X 0x37 '7'
RTCM S S X 0x37 '7'
NMEA P P S 0x32 '2'
UBX  S S X 0x32 '2'
RTCM S S X 0x32 '2'
NMEA P P S 0x39 '9'
UBX  S S X 0x39 '9'
RTCM S S X 0x39 '9'
NMEA P P S 0x32 '2'
UBX  S S X 0x32 '2'
RTCM S S X 0x32 '2'
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x2e '.'
UBX  S S X 0x2e '.'
RTCM S S X 0x2e '.'
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x41 'A'
UBX  S S X 0x41 'A'
RTCM S S X 0x41 'A'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x33 '3'
UBX  S S X 0x33 '3'
RTCM S S X 0x33 '3'
NMEA P P S 0x39 '9'
UBX  S S X 0x39 '9'
RTCM S S X 0x39 '9'
NMEA P P S 0x34 '4'
UBX  S S X 0x34 '4'
RTCM S S X 0x34 '4'
NMEA P P S 0x37 '7'
UBX  S S X 0x37 '7'
RTCM S S X 0x37 '7'
NMEA P P S 0x2e '.'
UBX  S S X 0x2e '.'
RTCM S S X 0x2e '.'
NMEA P P S 0x36 '6'
UBX  S S X 0x36 '6'
RTCM S S X 0x36 '6'
NMEA P P S 0x35 '5'
UBX  S S X 0x35 '5'
RTCM S S X 0x35 '5'
NMEA P P S 0x33 '3'
UBX  S S X 0x33 '3'
RTCM S S X 0x33 '3'
NMEA P P S 0x39 '9'
UBX  S S X 0x39 '9'
RTCM S S X 0x39 '9'
NMEA P P S 0x39 '9'
UBX  S S X 0x39 '9'
RTCM S S X 0x39 '9'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x4e 'N'
UBX  S S X 0x4e 'N'
RTCM S S X 0x4e 'N'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x31 '1'
UBX  S S X 0x31 '1'
RTCM S S X 0x31 '1'
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x35 '5'
UBX  S S X 0x35 '5'
RTCM S S X 0x35 '5'
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x39 '9'
UBX  S S X 0x39 '9'
RTCM S S X 0x39 '9'
NMEA P P S 0x2e '.'
UBX  S S X 0x2e '.'
RTCM S S X 0x2e '.'
NMEA P P S 0x32 '2'
UBX  S S X 0x32 '2'
RTCM S S X 0x32 '2'
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x31 '1'
UBX  S S X 0x31 '1'
RTCM S S X 0x31 '1'
NMEA P P S 0x36 '6'
UBX  S S X 0x36 '6'
RTCM S S X 0x36 '6'
NMEA P P S 0x39 '9'
UBX  S S X 0x39 '9'
RTCM S S X 0x39 '9'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x57 'W'
UBX  S S X 0x57 'W'
RTCM S S X 0x57 'W'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x2e '.'
UBX  S S X 0x2e '.'
RTCM S S X 0x2e '.'
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x37 '7'
UBX  S S X 0x37 '7'
RTCM S S X 0x37 '7'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x36 '6'
UBX  S S X 0x36 '6'
RTCM S S X 0x36 '6'
NMEA P P S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA P P S 0x36 '6'
UBX  S S X 0x36 '6'
RTCM S S X 0x36 '6'
NMEA P P S 0x31 '1'
UBX  S S X 0x31 '1'
RTCM S S X 0x31 '1'
NMEA P P S 0x39 '9'
UBX  S S X 0x39 '9'
RTCM S S X 0x39 '9'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x41 'A'
UBX  S S X 0x41 'A'
RTCM S S X 0x41 'A'
NMEA P P S 0x2c ','
UBX  S S X 0x2c ','
RTCM S S X 0x2c ','
NMEA P P S 0x56 'V'
UBX  S S X 0x56 'V'
RTCM S S X 0x56 'V'
NMEA P M S 0x2a '*'
UBX  S S X 0x2a '*'
RTCM S S X 0x2a '*'
NMEA M L S 0x30 '0'
UBX  S S X 0x30 '0'
RTCM S S X 0x30 '0'
NMEA L R S 0x45 'E'
UBX  S S X 0x45 'E'
RTCM S S X 0x45 'E'
NMEA R N S 0x0d
UBX  S S X 0x0d
RTCM S S X 0x0d
NMEA N E T 0x0a
2019-06-06T18:22:21.482918Z <NOTE> [29596] {7fdc51007740} Sync NMEA 0x00000046
NMEA S P S 0x24 '$'
NMEA P P S 0x47 'G'
NMEA P P S 0x4e 'N'
NMEA P P S 0x47 'G'
NMEA P P S 0x47 'G'
NMEA P P S 0x41 'A'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x37 '7'
NMEA P P S 0x32 '2'
NMEA P P S 0x39 '9'
NMEA P P S 0x32 '2'
NMEA P P S 0x30 '0'
NMEA P P S 0x2e '.'
NMEA P P S 0x30 '0'
NMEA P P S 0x30 '0'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x39 '9'
NMEA P P S 0x34 '4'
NMEA P P S 0x37 '7'
NMEA P P S 0x2e '.'
NMEA P P S 0x36 '6'
NMEA P P S 0x35 '5'
NMEA P P S 0x33 '3'
NMEA P P S 0x39 '9'
NMEA P P S 0x39 '9'
NMEA P P S 0x2c ','
NMEA P P S 0x4e 'N'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x30 '0'
NMEA P P S 0x35 '5'
NMEA P P S 0x30 '0'
NMEA P P S 0x39 '9'
NMEA P P S 0x2e '.'
NMEA P P S 0x32 '2'
NMEA P P S 0x30 '0'
NMEA P P S 0x31 '1'
NMEA P P S 0x36 '6'
NMEA P P S 0x39 '9'
NMEA P P S 0x2c ','
NMEA P P S 0x57 'W'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x32 '2'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x2e '.'
NMEA P P S 0x35 '5'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x37 '7'
NMEA P P S 0x30 '0'
NMEA P P S 0x37 '7'
NMEA P P S 0x2e '.'
NMEA P P S 0x30 '0'
NMEA P P S 0x2c ','
NMEA P P S 0x4d 'M'
NMEA P P S 0x2c ','
NMEA P P S 0x2d '-'
NMEA P P S 0x32 '2'
NMEA P P S 0x31 '1'
NMEA P P S 0x2e '.'
NMEA P P S 0x35 '5'
NMEA P P S 0x2c ','
NMEA P P S 0x4d 'M'
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P M S 0x2a '*'
NMEA M L S 0x34 '4'
NMEA L R S 0x43 'C'
NMEA R N S 0x0d
NMEA N E T 0x0a
NMEA S P S 0x24 '$'
NMEA P P S 0x47 'G'
NMEA P P S 0x4e 'N'
NMEA P P S 0x47 'G'
NMEA P P S 0x53 'S'
NMEA P P S 0x41 'A'
NMEA P P S 0x2c ','
NMEA P P S 0x41 'A'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x33 '3'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x39 '9'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x31 '1'
NMEA P P S 0x2c ','
NMEA P P S 0x32 '2'
NMEA P P S 0x38 '8'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x31 '1'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x35 '5'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x30 '0'
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x2e '.'
NMEA P P S 0x30 '0'
NMEA P P S 0x39 '9'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x2e '.'
NMEA P P S 0x35 '5'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x2e '.'
NMEA P P S 0x39 '9'
NMEA P P S 0x32 '2'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P M S 0x2a '*'
NMEA M L S 0x30 '0'
NMEA L R S 0x37 '7'
NMEA R N S 0x0d
NMEA N E T 0x0a
NMEA S P S 0x24 '$'
NMEA P P S 0x47 'G'
NMEA P P S 0x4e 'N'
NMEA P P S 0x47 'G'
NMEA P P S 0x53 'S'
NMEA P P S 0x41 'A'
NMEA P P S 0x2c ','
NMEA P P S 0x41 'A'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x2c ','
NMEA P P S 0x37 '7'
NMEA P P S 0x34 '4'
NMEA P P S 0x2c ','
NMEA P P S 0x38 '8'
NMEA P P S 0x34 '4'
NMEA P P S 0x2c ','
NMEA P P S 0x38 '8'
NMEA P P S 0x35 '5'
NMEA P P S 0x2c ','
NMEA P P S 0x37 '7'
NMEA P P S 0x33 '3'
NMEA P P S 0x2c ','
NMEA P P S 0x38 '8'
NMEA P P S 0x33 '3'
NMEA P P S 0x2c ','
NMEA P P S 0x37 '7'
NMEA P P S 0x35 '5'
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x2e '.'
NMEA P P S 0x30 '0'
NMEA P P S 0x39 '9'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x2e '.'
NMEA P P S 0x35 '5'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x2e '.'
NMEA P P S 0x39 '9'
NMEA P P S 0x32 '2'
NMEA P P S 0x2c ','
NMEA P P S 0x32 '2'
NMEA P M S 0x2a '*'
NMEA M L S 0x30 '0'
NMEA L R S 0x43 'C'
NMEA R N S 0x0d
NMEA N E T 0x0a
NMEA S P S 0x24 '$'
NMEA P P S 0x47 'G'
NMEA P P S 0x4e 'N'
NMEA P P S 0x47 'G'
NMEA P P S 0x53 'S'
NMEA P P S 0x41 'A'
NMEA P P S 0x2c ','
NMEA P P S 0x41 'A'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x2c ','
NMEA P P S 0x32 '2'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x32 '2'
NMEA P P S 0x38 '8'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x30 '0'
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x2e '.'
NMEA P P S 0x30 '0'
NMEA P P S 0x39 '9'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x2e '.'
NMEA P P S 0x35 '5'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x2e '.'
NMEA P P S 0x39 '9'
NMEA P P S 0x32 '2'
NMEA P P S 0x2c ','
NMEA P P S 0x34 '4'
NMEA P M S 0x2a '*'
NMEA M L S 0x30 '0'
NMEA L R S 0x39 '9'
NMEA R N S 0x0d
NMEA N E T 0x0a
NMEA S P S 0x24 '$'
NMEA P P S 0x47 'G'
NMEA P P S 0x50 'P'
NMEA P P S 0x47 'G'
NMEA P P S 0x53 'S'
NMEA P P S 0x56 'V'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x32 '2'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x31 '1'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x36 '6'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x36 '6'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x36 '6'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x36 '6'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x38 '8'
NMEA P P S 0x33 '3'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x32 '2'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x37 '7'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x35 '5'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x34 '4'
NMEA P P S 0x35 '5'
NMEA P P S 0x2c ','
NMEA P P S 0x34 '4'
NMEA P P S 0x31 '1'
NMEA P P S 0x2c ','
NMEA P P S 0x31 '1'
NMEA P P S 0x31 '1'
NMEA P P S 0x2c ','
NMEA P P S 0x33 '3'
NMEA P P S 0x31 '1'
NMEA P P S 0x2c ','
NMEA P P S 0x30 '0'
NMEA P P S 0x35 '5'
NMEA P P S 0x33 '3'
NMEA P P S 0x2c ','
NMEA P P S 0x32 '2'
