2019-06-25T23:29:47.791661Z <INFO> [744] {76f6b530} Begin
2019-06-25T23:29:47.792252Z <INFO> [744] {76f6b530} Router (3) ":tumbleweed" [::]:21010
2019-06-25T23:29:47.792322Z <INFO> [744] {76f6b530} Start
2019-06-25T23:30:52.219618Z <NOTE> [744] {76f6b530} Client New base [::ffff:174.209.0.61]:6571
2019-06-25T23:30:52.219789Z <NOTE> [744] {76f6b530} Client Set base [::ffff:174.209.0.61]:6571
2019-06-25T23:36:28.213760Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.33.234]:2645
2019-06-26T00:33:19.063809Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:174.209.33.234]:2645
2019-06-26T00:33:28.416375Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.33.234]:2645
2019-06-26T00:58:59.064859Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:174.209.33.234]:2645
2019-06-26T00:59:08.301363Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.33.234]:2645
2019-06-26T02:38:48.012487Z <NOTE> [744] {76f6b530} Client Old base [::ffff:174.209.0.61]:6571
2019-06-26T02:38:48.013164Z <NOTE> [744] {76f6b530} Client New base [::ffff:192.168.1.188]:43289
2019-06-26T02:38:48.013336Z <NOTE> [744] {76f6b530} Client Set base [::ffff:192.168.1.188]:43289
2019-06-26T02:39:28.253289Z <NOTE> [744] {76f6b530} Client Old base [::ffff:192.168.1.188]:43289
2019-06-26T02:39:29.070321Z <NOTE> [744] {76f6b530} Client New base [::ffff:174.209.1.209]:8231
2019-06-26T02:39:29.070540Z <NOTE> [744] {76f6b530} Client Set base [::ffff:174.209.1.209]:8231
2019-06-26T03:05:28.058945Z <NOTE> [744] {76f6b530} Client New rover [::ffff:192.168.1.1]:42804
2019-06-26T03:05:39.069692Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:174.209.33.234]:2645
2019-06-26T03:05:48.256039Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.9.215]:4224
2019-06-26T03:05:59.069366Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:192.168.1.1]:42804
2019-06-26T06:09:28.058577Z <NOTE> [744] {76f6b530} Client New rover [::ffff:192.168.1.1]:42804
2019-06-26T06:09:39.065573Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:174.209.9.215]:4224
2019-06-26T06:09:48.108028Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.16.196]:7052
2019-06-26T06:09:59.065301Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:192.168.1.1]:42804
2019-06-26T06:10:08.058974Z <NOTE> [744] {76f6b530} Client New rover [::ffff:192.168.1.182]:42804
2019-06-26T06:10:19.066025Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:174.209.16.196]:7052
2019-06-26T06:10:28.266752Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.16.196]:7040
2019-06-26T06:10:39.065709Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:192.168.1.182]:42804
2019-06-26T06:43:20.066215Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:174.209.16.196]:7040
2019-06-26T06:43:48.268595Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.16.196]:7040
2019-06-26T09:13:20.020202Z <NOTE> [744] {76f6b530} Client Old base [::ffff:174.209.1.209]:8231
2019-06-26T09:13:20.220657Z <NOTE> [744] {76f6b530} Client New base [::ffff:174.209.13.157]:5803
2019-06-26T09:13:20.220928Z <NOTE> [744] {76f6b530} Client Set base [::ffff:174.209.13.157]:5803
2019-06-26T10:58:19.069629Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:174.209.16.196]:7040
2019-06-26T10:58:28.052347Z <NOTE> [744] {76f6b530} Client New rover [::ffff:192.168.1.1]:42804
2019-06-26T10:59:08.257400Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.17.45]:4970
2019-06-26T10:59:18.069004Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:192.168.1.1]:42804
2019-06-26T14:01:28.248198Z <NOTE> [744] {76f6b530} Client Old base [::ffff:174.209.13.157]:5803
2019-06-26T14:01:29.059184Z <NOTE> [744] {76f6b530} Client New base [::ffff:174.209.27.107]:4679
2019-06-26T14:01:29.059431Z <NOTE> [744] {76f6b530} Client Set base [::ffff:174.209.27.107]:4679
2019-06-26T14:02:08.263694Z <NOTE> [744] {76f6b530} Client Old base [::ffff:174.209.27.107]:4679
2019-06-26T14:02:09.063249Z <NOTE> [744] {76f6b530} Client New base [::ffff:174.209.27.107]:4686
2019-06-26T14:02:09.063542Z <NOTE> [744] {76f6b530} Client Set base [::ffff:174.209.27.107]:4686
