2019-06-25T23:29:47.791661Z <INFO> [744] {76f6b530} Begin
2019-06-25T23:29:47.792252Z <INFO> [744] {76f6b530} Router (3) ":tumbleweed" [::]:21010
2019-06-25T23:29:47.792322Z <INFO> [744] {76f6b530} Start
2019-06-25T23:30:52.219618Z <NOTE> [744] {76f6b530} Client New base [::ffff:174.209.0.61]:6571
2019-06-25T23:30:52.219789Z <NOTE> [744] {76f6b530} Client Set base [::ffff:174.209.0.61]:6571
2019-06-25T23:36:28.213760Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.33.234]:2645
2019-06-26T00:33:19.063809Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:174.209.33.234]:2645
2019-06-26T00:33:28.416375Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.33.234]:2645
2019-06-26T00:58:59.064859Z <NOTE> [744] {76f6b530} Client Old rover [::ffff:174.209.33.234]:2645
2019-06-26T00:59:08.301363Z <NOTE> [744] {76f6b530} Client New rover [::ffff:174.209.33.234]:2645
2019-06-26T02:38:48.012487Z <NOTE> [744] {76f6b530} Client Old base [::ffff:174.209.0.61]:6571
2019-06-26T02:38:48.013164Z <NOTE> [744] {76f6b530} Client New base [::ffff:192.168.1.188]:43289
2019-06-26T02:38:48.013336Z <NOTE> [744] {76f6b530} Client Set base [::ffff:192.168.1.188]:43289
2019-06-26T02:39:28.253289Z <NOTE> [744] {76f6b530} Client Old base [::ffff:192.168.1.188]:43289
2019-06-26T02:39:29.070321Z <NOTE> [744] {76f6b530} Client New base [::ffff:174.209.1.209]:8231
2019-06-26T02:39:29.070540Z <NOTE> [744] {76f6b530} Client Set base [::ffff:174.209.1.209]:8231
