HOSTNAME, OBSERVATION, CLOCK, TIME, LATITUDE, LONGITUDE, HORIZONTAL, MSL, WGS84, VERTICAL, SPEED, COURSE
"cadmium", 1, 1589893114.028120356, 1589893114.000000000, 39.794270986, -105.153430734, 46.8027, 1728.5836, 1707.0837, 83.0733, 0.141000, 0.000000000
"cadmium", 2, 1589893115.028117505, 1589893115.000000000, 39.794270460, -105.153429251, 40.7558, 1728.8174, 1707.3175, 74.1912, 0.134000, 0.000000000
"cadmium", 3, 1589893116.028495658, 1589893116.000000000, 39.794270146, -105.153427009, 36.6184, 1728.4232, 1706.9233, 67.7898, 0.056000, 0.000000000
"cadmium", 4, 1589893117.026737221, 1589893117.000000000, 39.794269262, -105.153423589, 33.5494, 1728.3389, 1706.8390, 62.8583, 0.082000, 0.000000000
"cadmium", 5, 1589893118.029351944, 1589893118.000000000, 39.794270994, -105.153427871, 31.0353, 1727.2074, 1705.7076, 58.5189, 0.140000, 0.000000000
"cadmium", 6, 1589893119.026724648, 1589893119.000000000, 39.794272035, -105.153430463, 29.1530, 1726.3154, 1704.8155, 55.3671, 0.059000, 0.000000000
"cadmium", 7, 1589893120.029272138, 1589893120.000000000, 39.794271977, -105.153429521, 27.4826, 1726.1431, 1704.6432, 52.6945, 0.159000, 0.000000000
"cadmium", 8, 1589893121.026243445, 1589893121.000000000, 39.794272370, -105.153430081, 26.1054, 1725.7772, 1704.2773, 50.1989, 0.140000, 0.000000000
"cadmium", 9, 1589893122.028191427, 1589893122.000000000, 39.794273740, -105.153433331, 24.8465, 1724.5431, 1703.0432, 48.0415, 0.078000, 0.000000000
"cadmium", 10, 1589893123.026320809, 1589893123.000000000, 39.794273696, -105.153433341, 23.7611, 1723.9228, 1702.4229, 46.1562, 0.011000, 0.000000000
"cadmium", 11, 1589893124.029223622, 1589893124.000000000, 39.794273254, -105.153431966, 22.8141, 1723.6215, 1702.1217, 44.4924, 0.068000, 0.000000000
"cadmium", 12, 1589893125.027201356, 1589893125.000000000, 39.794271987, -105.153427010, 21.9853, 1723.6211, 1702.1212, 43.0223, 0.022000, 0.000000000
"cadmium", 13, 1589893126.027771416, 1589893126.000000000, 39.794271221, -105.153423231, 21.2584, 1723.5384, 1702.0385, 41.7094, 0.106000, 0.000000000
"cadmium", 14, 1589893127.026422086, 1589893127.000000000, 39.794271076, -105.153418394, 20.6108, 1723.3186, 1701.8187, 40.5274, 0.018000, 0.000000000
"cadmium", 15, 1589893128.027592308, 1589893128.000000000, 39.794271937, -105.153414591, 19.9831, 1722.6495, 1701.1496, 39.3154, 0.196000, 0.000000000
"cadmium", 16, 1589893129.027262670, 1589893129.000000000, 39.794271826, -105.153406971, 18.8926, 1721.0142, 1699.5143, 36.8726, 0.072000, 0.000000000
"cadmium", 17, 1589893130.028072474, 1589893130.000000000, 39.794272195, -105.153400872, 18.3285, 1719.7482, 1698.2483, 35.5474, 0.084000, 0.000000000
"cadmium", 18, 1589893131.027140962, 1589893131.000000000, 39.794274039, -105.153398058, 17.8339, 1718.4903, 1696.9904, 34.4299, 0.064000, 0.000000000
"cadmium", 19, 1589893132.028170704, 1589893132.000000000, 39.794276212, -105.153396021, 17.3883, 1717.2837, 1695.7838, 33.4340, 0.015000, 0.000000000
"cadmium", 20, 1589893133.027176205, 1589893133.000000000, 39.794276899, -105.153391824, 17.0080, 1716.4865, 1694.9866, 32.6017, 0.124000, 0.000000000
"cadmium", 21, 1589893134.027968220, 1589893134.000000000, 39.794277528, -105.153387355, 16.6607, 1715.7777, 1694.2778, 31.8490, 0.041000, 0.000000000
"cadmium", 22, 1589893135.027118549, 1589893135.000000000, 39.794278505, -105.153384381, 16.3417, 1715.3395, 1693.8396, 31.1634, 0.037000, 0.000000000
"cadmium", 23, 1589893136.027050411, 1589893136.000000000, 39.794280263, -105.153383266, 16.0476, 1714.8557, 1693.3558, 30.5347, 0.057000, 0.000000000
"cadmium", 24, 1589893137.026577987, 1589893137.000000000, 39.794282124, -105.153383991, 15.7994, 1714.2842, 1692.7843, 29.9661, 0.095000, 0.000000000
"cadmium", 25, 1589893138.027509158, 1589893138.000000000, 39.794283353, -105.153383187, 15.5785, 1714.2145, 1692.7146, 29.4638, 0.026000, 0.000000000
"cadmium", 26, 1589893139.027235834, 1589893139.000000000, 39.794285028, -105.153381731, 15.3698, 1714.1018, 1692.6019, 28.9791, 0.073000, 0.000000000
"cadmium", 27, 1589893140.028827069, 1589893140.000000000, 39.794285612, -105.153379489, 15.1748, 1714.4549, 1692.9550, 28.5282, 0.024000, 0.000000000
"cadmium", 28, 1589893141.026906786, 1589893141.000000000, 39.794286274, -105.153378132, 14.9850, 1714.6671, 1693.1672, 28.0988, 0.099000, 0.000000000
"cadmium", 29, 1589893142.028045167, 1589893142.000000000, 39.794286521, -105.153376843, 14.8067, 1714.7673, 1693.2674, 27.6976, 0.132000, 0.000000000
"cadmium", 30, 1589893143.026552302, 1589893143.000000000, 39.794286372, -105.153375424, 14.6572, 1715.0093, 1693.5094, 27.3832, 0.124000, 0.000000000
"cadmium", 31, 1589893144.028200684, 1589893144.000000000, 39.794285956, -105.153373830, 14.5005, 1715.2546, 1693.7547, 27.0374, 0.036000, 0.000000000
"cadmium", 32, 1589893145.028010127, 1589893145.000000000, 39.794285268, -105.153372386, 14.3678, 1715.5277, 1694.0278, 26.7595, 0.045000, 0.000000000
"cadmium", 33, 1589893146.028119720, 1589893146.000000000, 39.794283854, -105.153370049, 14.2355, 1715.8625, 1694.3626, 26.5170, 0.023000, 0.000000000
"cadmium", 34, 1589893147.027205723, 1589893147.000000000, 39.794282450, -105.153367950, 14.1094, 1716.3074, 1694.8075, 26.2673, 0.112000, 0.000000000
"cadmium", 35, 1589893148.026471263, 1589893148.000000000, 39.794281684, -105.153366333, 13.9722, 1716.3687, 1694.8687, 25.9863, 0.016000, 0.000000000
"cadmium", 36, 1589893149.028482250, 1589893149.000000000, 39.794279998, -105.153363179, 13.8556, 1716.8710, 1695.3711, 25.7636, 0.022000, 0.000000000
"cadmium", 37, 1589893150.028572767, 1589893150.000000000, 39.794278584, -105.153361037, 13.7257, 1717.0398, 1695.5399, 25.5058, 0.085000, 0.000000000
"cadmium", 38, 1589893151.026716026, 1589893151.000000000, 39.794276724, -105.153357095, 13.6014, 1717.5788, 1696.0789, 25.2606, 0.048000, 0.000000000
"cadmium", 39, 1589893152.027493569, 1589893152.000000000, 39.794274766, -105.153355388, 13.4838, 1717.8444, 1696.3445, 25.0285, 0.129000, 0.000000000
"cadmium", 40, 1589893153.027296312, 1589893153.000000000, 39.794272981, -105.153352583, 13.3723, 1718.2706, 1696.7707, 24.8079, 0.101000, 0.000000000
"cadmium", 41, 1589893154.027786868, 1589893154.000000000, 39.794271336, -105.153351359, 13.2812, 1718.4764, 1696.9765, 24.6021, 0.092000, 0.000000000
"cadmium", 42, 1589893155.027776460, 1589893155.000000000, 39.794269820, -105.153349657, 13.1869, 1718.7208, 1697.2208, 24.4053, 0.049000, 0.000000000
"cadmium", 43, 1589893156.028700051, 1589893156.000000000, 39.794268136, -105.153347391, 13.0971, 1718.9487, 1697.4488, 24.2181, 0.097000, 0.000000000
"cadmium", 44, 1589893157.027155566, 1589893157.000000000, 39.794267650, -105.153347075, 13.0117, 1718.6857, 1697.1857, 24.0399, 0.050000, 0.000000000
"cadmium", 45, 1589893158.028277632, 1589893158.000000000, 39.794266413, -105.153346911, 12.9305, 1718.6102, 1697.1103, 23.8700, 0.101000, 0.000000000
"cadmium", 46, 1589893159.026647814, 1589893159.000000000, 39.794264752, -105.153345373, 12.8533, 1718.8272, 1697.3272, 23.7079, 0.100000, 0.000000000
"cadmium", 47, 1589893160.028602493, 1589893160.000000000, 39.794263612, -105.153345144, 12.7785, 1718.7842, 1697.2843, 23.5466, 0.047000, 0.000000000
"cadmium", 48, 1589893161.026887600, 1589893161.000000000, 39.794263486, -105.153345401, 12.7125, 1718.3725, 1696.8725, 23.3979, 0.049000, 0.000000000
"cadmium", 49, 1589893162.027820228, 1589893162.000000000, 39.794263249, -105.153346319, 12.6502, 1718.0077, 1696.5078, 23.2561, 0.092000, 0.000000000
"cadmium", 50, 1589893163.028193102, 1589893163.000000000, 39.794262577, -105.153345771, 12.5987, 1717.8852, 1696.3853, 23.1225, 0.061000, 0.000000000
