HOSTNAME, OBSERVATION, CLOCK, TIME, LATITUDE, LONGITUDE, HORIZONTAL, MSL, WGS84, VERTICAL, SPEED, COURSE
"gold", 1, 1589897108.083030508, 1589897108.000000000, 39.794234431, -105.153349739, 1.7073, 1711.4302, 1689.9302, 2.8567, 0.036000, 0.000000000
"gold", 2, 1589897109.106373883, 1589897109.000000000, 39.794234241, -105.153350189, 1.6827, 1711.4055, 1689.9055, 2.8107, 0.014000, 0.000000000
"gold", 3, 1589897110.081714229, 1589897109.000000000, 39.794234096, -105.153350581, 1.6611, 1711.3718, 1689.8718, 2.7706, 0.014000, 0.000000000
"gold", 4, 1589897111.080691332, 1589897111.000000000, 39.794233927, -105.153350883, 1.6412, 1711.3882, 1689.8882, 2.7316, 0.020000, 0.000000000
"gold", 5, 1589897112.080746815, 1589897112.000000000, 39.794233805, -105.153351247, 1.6225, 1711.3617, 1689.8617, 2.6975, 0.021000, 0.000000000
"gold", 6, 1589897113.081534952, 1589897113.000000000, 39.794233664, -105.153351528, 1.6056, 1711.3347, 1689.8347, 2.6651, 0.021000, 0.000000000
"gold", 7, 1589897114.105981840, 1589897114.000000000, 39.794233546, -105.153351794, 1.5895, 1711.3109, 1689.8109, 2.6341, 0.019000, 0.000000000
"gold", 8, 1589897115.081450359, 1589897115.000000000, 39.794233474, -105.153352041, 1.5736, 1711.3210, 1689.8210, 2.5928, 0.026000, 0.000000000
"gold", 9, 1589897116.081330753, 1589897116.000000000, 39.794233441, -105.153352414, 1.5585, 1711.2909, 1689.7910, 2.5654, 0.040000, 0.000000000
"gold", 10, 1589897117.083190501, 1589897116.000000000, 39.794233350, -105.153352678, 1.5440, 1711.2861, 1689.7862, 2.5395, 0.040000, 0.000000000
"gold", 11, 1589897118.082366031, 1589897118.000000000, 39.794233185, -105.153352887, 1.5310, 1711.2897, 1689.7897, 2.5185, 0.028000, 0.000000000
"gold", 12, 1589897119.104961728, 1589897119.000000000, 39.794233043, -105.153353103, 1.5186, 1711.2840, 1689.7840, 2.4974, 0.034000, 0.000000000
"gold", 13, 1589897120.078420971, 1589897120.000000000, 39.794232935, -105.153353292, 1.5063, 1711.2608, 1689.7608, 2.4761, 0.025000, 0.000000000
