HOSTNAME, OBSERVATION, CLOCK, TIME, LATITUDE, LONGITUDE, HORIZONTAL, MSL, WGS84, VERTICAL, SPEED, COURSE
"gypsum", 1, 1591196230.060265414, 1591196230.000000000, 39.794232030, -105.153377028, 1.3635, 1711.2138, 1689.7138, 2.4990, 0.020000, 0.000000000
"gypsum", 2, 1591196231.057900696, 1591196230.000000000, 39.794231845, -105.153376920, 1.3633, 1711.2317, 1689.7318, 2.4984, 0.020000, 0.000000000
"gypsum", 3, 1591196232.058976157, 1591196231.000000000, 39.794231754, -105.153376655, 1.3630, 1711.2150, 1689.7151, 2.4976, 0.030000, 0.000000000
"gypsum", 4, 1591196233.058967657, 1591196232.000000000, 39.794231528, -105.153376693, 1.3630, 1711.2438, 1689.7439, 2.4969, 0.062000, 0.000000000
"gypsum", 5, 1591196234.053004012, 1591196233.000000000, 39.794231268, -105.153376775, 1.3633, 1711.2651, 1689.7651, 2.4955, 0.040000, 0.000000000
"gypsum", 6, 1591196235.059991459, 1591196234.000000000, 39.794230967, -105.153376841, 1.3633, 1711.2989, 1689.7990, 2.4937, 0.033000, 0.000000000
"gypsum", 7, 1591196236.059201352, 1591196235.000000000, 39.794230684, -105.153376859, 1.3638, 1711.3379, 1689.8380, 2.4926, 0.019000, 0.000000000
"gypsum", 8, 1591196237.059067698, 1591196236.000000000, 39.794230461, -105.153376846, 1.3641, 1711.3665, 1689.8665, 2.4917, 0.012000, 0.000000000
"gypsum", 9, 1591196238.061469199, 1591196238.000000000, 39.794230341, -105.153376756, 1.3649, 1711.3606, 1689.8606, 2.4917, 0.042000, 0.000000000
"gypsum", 10, 1591196239.058098611, 1591196238.000000000, 39.794230160, -105.153376749, 1.3654, 1711.3829, 1689.8829, 2.4915, 0.042000, 0.000000000
"gypsum", 11, 1591196240.057137183, 1591196239.000000000, 39.794229997, -105.153376644, 1.3644, 1711.3939, 1689.8939, 2.4893, 0.006000, 0.000000000
"gypsum", 12, 1591196241.057162983, 1591196240.000000000, 39.794229800, -105.153376639, 1.3646, 1711.4115, 1689.9116, 2.4882, 0.023000, 0.000000000
"gypsum", 13, 1591196242.056179974, 1591196241.000000000, 39.794229583, -105.153376616, 1.3630, 1711.4172, 1689.9173, 2.4846, 0.008000, 0.000000000
"gypsum", 14, 1591196243.052112080, 1591196242.000000000, 39.794229448, -105.153376629, 1.3623, 1711.4224, 1689.9225, 2.4825, 0.011000, 0.000000000
"gypsum", 15, 1591196244.056134707, 1591196243.000000000, 39.794229320, -105.153376583, 1.3621, 1711.4149, 1689.9149, 2.4808, 0.020000, 0.000000000
"gypsum", 16, 1591196245.055313107, 1591196244.000000000, 39.794229100, -105.153376533, 1.3622, 1711.4254, 1689.9255, 2.4793, 0.014000, 0.000000000
"gypsum", 17, 1591196246.055509188, 1591196246.000000000, 39.794228788, -105.153376514, 1.3617, 1711.4428, 1689.9429, 2.4761, 0.012000, 0.000000000
"gypsum", 18, 1591196247.056317652, 1591196246.000000000, 39.794228546, -105.153376491, 1.3609, 1711.4548, 1689.9548, 2.4743, 0.012000, 0.000000000
"gypsum", 19, 1591196248.055317257, 1591196247.000000000, 39.794228285, -105.153376413, 1.3600, 1711.4565, 1689.9565, 2.4717, 0.026000, 0.000000000
"gypsum", 20, 1591196249.055333076, 1591196248.000000000, 39.794228100, -105.153376435, 1.3603, 1711.4620, 1689.9621, 2.4712, 0.017000, 0.000000000
"gypsum", 21, 1591196250.055334089, 1591196249.000000000, 39.794227883, -105.153376390, 1.3610, 1711.4717, 1689.9718, 2.4710, 0.035000, 0.000000000
"gypsum", 22, 1591196251.055403409, 1591196250.000000000, 39.794227691, -105.153376366, 1.3613, 1711.4628, 1689.9629, 2.4707, 0.023000, 0.000000000
"gypsum", 23, 1591196252.051377707, 1591196251.000000000, 39.794227551, -105.153376378, 1.3620, 1711.4545, 1689.9546, 2.4708, 0.022000, 0.000000000
