HOSTNAME, OBSERVATION, CLOCK, TIME, LATITUDE, LONGITUDE, HORIZONTAL, MSL, WGS84, VERTICAL, SPEED, COURSE
"vagabund", 1, 1589814953.655677444, 1589818993.000000000, 39.821673201, -105.095171686, 0.4354, 1724.4683, 1702.9434, 0.6894, 0.002000, 0.000000000
"vagabund", 2, 1589814954.658252027, 1589818994.000000000, 39.821673153, -105.095171710, 0.4351, 1724.4743, 1702.9494, 0.6888, 0.005000, 0.000000000
"vagabund", 3, 1589814955.660383016, 1589818995.000000000, 39.821673116, -105.095171733, 0.4349, 1724.4801, 1702.9552, 0.6884, 0.005000, 0.000000000
"vagabund", 4, 1589814956.658028484, 1589818995.000000000, 39.821673065, -105.095171744, 0.4346, 1724.4832, 1702.9583, 0.6877, 0.005000, 0.000000000
"vagabund", 5, 1589814957.661142286, 1589818996.000000000, 39.821673020, -105.095171733, 0.4344, 1724.4843, 1702.9594, 0.6871, 0.001000, 0.000000000
"vagabund", 6, 1589814958.669212911, 1589818998.000000000, 39.821672970, -105.095171720, 0.4343, 1724.4901, 1702.9652, 0.6865, 0.000000, 0.000000000
"vagabund", 7, 1589814959.663036712, 1589818998.000000000, 39.821672916, -105.095171733, 0.4342, 1724.4948, 1702.9699, 0.6857, 0.000000, 0.000000000
"vagabund", 8, 1589814960.659179212, 1589818999.000000000, 39.821672867, -105.095171740, 0.4341, 1724.4948, 1702.9699, 0.6850, 0.007000, 0.000000000
"vagabund", 9, 1589814961.660038639, 1589819000.000000000, 39.821672828, -105.095171750, 0.4340, 1724.5044, 1702.9795, 0.6842, 0.003000, 0.000000000
"vagabund", 10, 1589814962.656254784, 1589819002.000000000, 39.821672786, -105.095171735, 0.4339, 1724.5058, 1702.9809, 0.6834, 0.007000, 0.000000000
"vagabund", 11, 1589814963.660152753, 1589819002.000000000, 39.821672723, -105.095171733, 0.4339, 1724.5079, 1702.9830, 0.6829, 0.007000, 0.000000000
"vagabund", 12, 1589814964.657211346, 1589819003.000000000, 39.821672651, -105.095171729, 0.4339, 1724.5140, 1702.9891, 0.6825, 0.002000, 0.000000000
"vagabund", 13, 1589814965.663749002, 1589819004.000000000, 39.821672582, -105.095171738, 0.4337, 1724.5251, 1703.0002, 0.6821, 0.002000, 0.000000000
"vagabund", 14, 1589814966.660144418, 1589819005.000000000, 39.821672536, -105.095171745, 0.4336, 1724.5293, 1703.0044, 0.6816, 0.002000, 0.000000000
"vagabund", 15, 1589814967.660429157, 1589819007.000000000, 39.821672498, -105.095171749, 0.4334, 1724.5351, 1703.0102, 0.6810, 0.008000, 0.000000000
"vagabund", 16, 1589814968.658275563, 1589819007.000000000, 39.821672447, -105.095171739, 0.4331, 1724.5368, 1703.0119, 0.6803, 0.008000, 0.000000000
"vagabund", 17, 1589814969.660403532, 1589819008.000000000, 39.821672394, -105.095171735, 0.4329, 1724.5430, 1703.0181, 0.6798, 0.001000, 0.000000000
"vagabund", 18, 1589814970.658771865, 1589819009.000000000, 39.821672342, -105.095171725, 0.4328, 1724.5494, 1703.0245, 0.6794, 0.003000, 0.000000000
"vagabund", 19, 1589814971.656577906, 1589819011.000000000, 39.821672299, -105.095171722, 0.4327, 1724.5525, 1703.0275, 0.6791, 0.003000, 0.000000000
"vagabund", 20, 1589814972.659627905, 1589819012.000000000, 39.821672255, -105.095171731, 0.4326, 1724.5629, 1703.0380, 0.6787, 0.003000, 0.000000000
"vagabund", 21, 1589814973.672156863, 1589819013.000000000, 39.821672224, -105.095171723, 0.4326, 1724.5696, 1703.0447, 0.6786, 0.004000, 0.000000000
"vagabund", 22, 1589814974.659261342, 1589819013.000000000, 39.821672188, -105.095171723, 0.4324, 1724.5779, 1703.0530, 0.6783, 0.004000, 0.000000000
"vagabund", 23, 1589814975.660645561, 1589819015.000000000, 39.821672154, -105.095171744, 0.4323, 1724.5928, 1703.0679, 0.6779, 0.005000, 0.000000000
"vagabund", 24, 1589814976.658322435, 1589819015.000000000, 39.821672126, -105.095171743, 0.4321, 1724.6040, 1703.0791, 0.6775, 0.005000, 0.000000000
"vagabund", 25, 1589814977.662556185, 1589819017.000000000, 39.821672083, -105.095171742, 0.4319, 1724.6169, 1703.0919, 0.6771, 0.002000, 0.000000000
"vagabund", 26, 1589814978.671328424, 1589819018.000000000, 39.821672051, -105.095171712, 0.4318, 1724.6192, 1703.0943, 0.6768, 0.003000, 0.000000000
"vagabund", 27, 1589814979.660660663, 1589819019.000000000, 39.821672029, -105.095171678, 0.4317, 1724.6267, 1703.1018, 0.6765, 0.002000, 0.000000000
"vagabund", 28, 1589814980.655475298, 1589819020.000000000, 39.821672007, -105.095171675, 0.4315, 1724.6351, 1703.1102, 0.6762, 0.004000, 0.000000000
"vagabund", 29, 1589814981.663549256, 1589819021.000000000, 39.821671987, -105.095171658, 0.4314, 1724.6391, 1703.1142, 0.6758, 0.002000, 0.000000000
"vagabund", 30, 1589814982.658607745, 1589819022.000000000, 39.821671984, -105.095171606, 0.4312, 1724.6349, 1703.1100, 0.6754, 0.004000, 0.000000000
"vagabund", 31, 1589814983.672935714, 1589819023.000000000, 39.821671987, -105.095171570, 0.4311, 1724.6438, 1703.1189, 0.6751, 0.002000, 0.000000000
"vagabund", 32, 1589814984.659288578, 1589819023.000000000, 39.821671996, -105.095171492, 0.4310, 1724.6412, 1703.1163, 0.6749, 0.002000, 0.000000000
"vagabund", 33, 1589814985.659623994, 1589819025.000000000, 39.821672018, -105.095171385, 0.4308, 1724.6351, 1703.1102, 0.6743, 0.007000, 0.000000000
"vagabund", 34, 1589814986.660767640, 1589819026.000000000, 39.821672033, -105.095171276, 0.4302, 1724.6266, 1703.1017, 0.6725, 0.004000, 0.000000000
"vagabund", 35, 1589814987.661628421, 1589819027.000000000, 39.821672037, -105.095171198, 0.4295, 1724.6190, 1703.0941, 0.6705, 0.003000, 0.000000000
"vagabund", 36, 1589814988.660521233, 1589819027.000000000, 39.821672033, -105.095171117, 0.4289, 1724.6076, 1703.0827, 0.6686, 0.003000, 0.000000000
"vagabund", 37, 1589814989.656928420, 1589819029.000000000, 39.821672030, -105.095171020, 0.4283, 1724.5940, 1703.0691, 0.6667, 0.004000, 0.000000000
