NAM, NUM, FIX, SYS, SAT, CLK, TIM, LAT, LON, HAC, MSL, GEO, VAC, SOG, COG, ROL, PIT, YAW, RAC, PAC, YAC, OBS, MAC
"neon", 1, 3, 0, 11, 1600355105.137040112, 1600355104.000000000, 39.7943158, -105.1533988, 0., 1732.100, 1710.600, 0., 0.003000, 0., 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 2, 3, 0, 11, 1600355106.137553205, 1600355105.000000000, 39.7943148, -105.1533981, 0., 1731.700, 1710.200, 0., 0.012000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01601, 180.00000, 0, 0.
"neon", 3, 3, 0, 11, 1600355107.139752651, 1600355106.000000000, 39.7943140, -105.1533973, 0., 1731.200, 1709.700, 0., 0.018000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01601, 180.00000, 0, 0.
"neon", 4, 3, 0, 11, 1600355108.134044679, 1600355107.000000000, 39.7943136, -105.1533960, 0., 1730.800, 1709.300, 0., 0.024000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01601, 180.00000, 0, 0.
"neon", 5, 3, 0, 11, 1600355109.136764696, 1600355108.000000000, 39.7943135, -105.1533948, 0., 1730.400, 1708.900, 0., 0.040000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01601, 180.00000, 0, 0.
"neon", 6, 3, 0, 11, 1600355110.135042032, 1600355109.000000000, 39.7943121, -105.1533943, 0., 1730.000, 1708.500, 0., 0.032000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01601, 180.00000, 0, 0.
"neon", 7, 3, 0, 11, 1600355111.139644525, 1600355110.000000000, 39.7943113, -105.1533935, 0., 1729.500, 1708.000, 0., 0.043000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01601, 180.00000, 0, 0.
"neon", 8, 3, 0, 11, 1600355112.139460907, 1600355111.000000000, 39.7943108, -105.1533928, 0., 1729.100, 1707.600, 0., 0.040000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01601, 180.00000, 0, 0.
"neon", 9, 3, 0, 11, 1600355113.133061367, 1600355112.000000000, 39.7943103, -105.1533921, 0., 1728.700, 1707.200, 0., 0.011000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01601, 180.00000, 0, 0.
"neon", 10, 3, 0, 11, 1600355114.135693766, 1600355113.000000000, 39.7943103, -105.1533910, 0., 1728.400, 1706.900, 0., 0.016000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01665, 180.00000, 0, 0.
"neon", 11, 3, 0, 11, 1600355115.138975504, 1600355114.000000000, 39.7943105, -105.1533900, 0., 1728.100, 1706.600, 0., 0.029000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01720, 180.00000, 0, 0.
"neon", 12, 3, 0, 11, 1600355116.138991652, 1600355115.000000000, 39.7943105, -105.1533888, 0., 1727.700, 1706.200, 0., 0.015000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01783, 180.00000, 0, 0.
"neon", 13, 3, 0, 11, 1600355117.132447701, 1600355116.000000000, 39.7943105, -105.1533878, 0., 1727.400, 1705.900, 0., 0.006000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01844, 180.00000, 0, 0.
"neon", 14, 3, 0, 11, 1600355118.136386824, 1600355117.000000000, 39.7943110, -105.1533865, 0., 1727.000, 1705.500, 0., 0.027000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01844, 180.00000, 0, 0.
